"","datasetID","startYear","endYear","samplingPeriodID","scalingID","scientificName","jcStatistic","jcExpectation","jcVariance","jcPval","jcZScore","jcDifference","moransI","moransIPval","occCells","occArea","occCroppedArea","totalCells","totalArea","totalCroppedArea","percentageOcc"
"49","Czechia",1985,1989,"1","1","Poecile palustris",1862,1820.97552799195,99.7171539561823,1.99324429464262e-05,4.10826134232136,0.073917967582064,0.0786520277616168,6.12304334025459e-05,555,74147.6271275133,69782.9059962468,628,83907.508527584,78308.8064501954,88.38
"50","Czechia",1985,1989,"1","1","Podiceps cristatus",1021,830.623533355682,214.303833920392,5.75708814610289e-39,13.0046387245939,0.507670577718181,0.268087609009348,4.24274935508624e-38,375,50141.4779658741,48309.2765315565,628,83907.508527584,78308.8064501954,59.71
"51","Czechia",1985,1989,"1","1","Phylloscopus collybita",2303,2302.3640630238,5.95649727899581,0.397213407668935,0.260566514527582,0.00101912976954877,-0.00613553113553113,0.598402727324077,624,83368.5340302617,77838.0339872528,628,83907.508527584,78308.8064501954,99.36
"52","Czechia",1985,1989,"1","1","Cuculus canorus",2273,2265.58565202816,13.3407516535372,0.0211814111239125,2.0299381927779,0.0119779450272057,-0.013529886914378,0.726319108061733,619,82705.4933909886,77336.1569600267,628,83907.508527584,78308.8064501954,98.57
"53","Czechia",1985,1989,"1","1","Columba palumbus",2268,2258.26550452565,14.8089921390638,0.00570974099280587,2.52959326479463,0.0157516107999269,-0.0143203883495146,0.738133236960423,618,82579.5382030328,77281.8788648498,628,83907.508527584,78308.8064501954,98.41
"54","Czechia",1985,1989,"1","1","Periparus ater",2063,2009.52262822662,64.041262823157,1.17435868443382e-11,6.68251760361074,0.0917279104174655,0.295592175120477,1.32668229055663e-46,583,77877.3331873732,73055.1453272443,628,83907.508527584,78308.8064501954,92.83
"55","Czechia",1985,1989,"1","1","Ciconia ciconia",1236,1087.43278578612,203.174143050564,9.74540682772892e-26,10.422904574038,0.346310522643074,0.241978973009124,1.80743911185759e-31,429,57424.4137309623,54753.3583750165,628,83907.508527584,78308.8064501954,68.31
"56","Czechia",1985,1989,"1","1","Poecile montanus",1184,1067.22538831154,204.704766714713,1.65072591459116e-16,8.16177191390837,0.274763792208133,0.214675911744008,3.19948753892391e-25,425,56798.3401278641,53540.4324451127,628,83907.508527584,78308.8064501954,67.68
"57","Czechia",1985,1989,"1","1","Sturnus vulgaris",2313,2309.75527991954,4.47133456077427,0.062456925003903,1.53447088742801,0.00519155212872935,-0.00443047619047619,0.565556126225309,625,83505.9188578595,77947.6859779118,628,83907.508527584,78308.8064501954,99.52
"58","Czechia",1985,1989,"1","1","Turdus merula",NA,NA,NA,NA,NA,NA,NA,NA,628,83907.508527584,78308.8064501954,628,83907.508527584,78308.8064501954,100
"59","Czechia",1985,1989,"1","1","Vanellus vanellus",1961,1873.89853614929,89.9100583558902,2.04066101483187e-20,9.18589155847546,0.154709527265914,0.168886167118849,1.57781023390207e-16,563,75250.8954311497,71772.8368770754,628,83907.508527584,78308.8064501954,89.65
"60","Czechia",1985,1989,"1","1","Sitta europaea",2298,2287.61716392893,8.91863945871592,0.000253816705565813,3.4766958036646,0.0166926624936812,-0.0084366865717348,0.639172457008359,622,83110.8927532306,77821.4299388699,628,83907.508527584,78308.8064501954,99.04
"61","Czechia",1985,1989,"1","1","Turdus viscivorus",1699,1616.8642306403,135.490004283842,8.54805961186855e-13,7.05632704627164,0.157047360152399,0.226992061324211,4.66571509901115e-28,523,69934.1301821025,65638.2351371225,628,83907.508527584,78308.8064501954,83.28
"62","Czechia",1985,1989,"1","1","Prunella modularis",2163,2149.8846798525,36.4533418035135,0.0149183270566948,2.17225208323418,0.0217501163308502,-0.0126665087262102,0.704411714575091,603,80579.5242584908,75404.1199672593,628,83907.508527584,78308.8064501954,96.02
"63","Czechia",1985,1989,"1","1","Parus major",2327,2324.57324840764,1.49304231442511,0.0235141178877156,1.98604582576723,0.00387041721268977,-0.00129110655426444,0.0588263428916478,627,83775.8291310093,78272.0068695888,628,83907.508527584,78308.8064501954,99.84
"64","Czechia",1985,1989,"1","1","Coccothraustes coccothraustes",1842,1762.34327857861,110.352771829348,1.69060595016345e-14,7.58282100221676,0.145891431174703,0.158196289772945,1.06149759157671e-14,546,72943.4217486915,69153.8016234776,628,83907.508527584,78308.8064501954,86.94
"65","Czechia",1985,1989,"1","1","Turdus philomelos",2319,2317.15834171416,2.98350173979998,0.143162612633916,1.06621773860725,0.00294194614351806,-0.00289061311425529,0.534702518146966,626,83644.4251375155,78140.610421426,628,83907.508527584,78308.8064501954,99.68
"66","Czechia",1985,1989,"1","1","Picus viridis",1937,1880.56721421388,88.6615777527913,1.02832193580132e-09,5.99326887627004,0.100058130826456,0.0386824288669368,0.0268160691769468,564,75370.5098660991,71435.5209037527,628,83907.508527584,78308.8064501954,89.81
